OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
12690,CentBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502180,Cost Plan - Debit,3019026
12691,AdjAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,300000
12692,AdjAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,500000
12693,CentBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502180,Cost Plan - Debit,1106292
12694,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371340,Miscellaneous Proprietary Revenue,-47997
12695,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1291
12696,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,39873
12697,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890040,Base Budget Increase,1343862
12698,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503060,General Tax Transfer - Debit,3895900
12699,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6211,Storm Drainage Grant Reimbursement,All Account,Net Amount (Revenue less Expense),Revenues,Intergovernmental,Intergovernmental Accounts,R_338020,Other Agency Payments,1112000
12700,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6211,Storm Drainage Grant Reimbursement,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890040,Base Budget Increase,1112000
12701,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371090,Utility Service Extensions,25000
12702,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-41849
12703,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,29391
12704,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890040,Base Budget Increase,2228930
12705,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503060,General Tax Transfer - Debit,3311000
12706,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371340,Miscellaneous Proprietary Revenue,-79050
12707,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,-79086
12708,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,78331
12709,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Service & Supply Adjustments,E_890040,Base Budget Increase,2360968
12710,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503060,General Tax Transfer - Debit,10430500
12711,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_371340,Miscellaneous Proprietary Revenue,62997
12712,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,57923
12713,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,500539
12714,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_446010,Property Tax,53500
12715,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001041,Fund Level Programs,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_452010,Liability Insurance Premiums,534409
12716,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001051,Metropolitan Water Planning,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503020,Program Support Transfer - DR,7281
12717,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001051,Metropolitan Water Planning,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Operating Transfers,Operating Transfers Accounts,E_503020,Program Support Transfer - DR,464113
12718,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,23927
12719,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,23926
12720,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-47853
12721,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,285899
12722,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413130,Longevity,100
12723,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,27145
12724,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,44403
12725,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,10301
12726,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,17726
12727,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,4146
12728,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,840
12729,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,5412
12730,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431010,Official Services,2050
12731,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,200000
12732,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,175741
12733,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443050,Computer Software Maintenance,1057
12734,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,1538
12735,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,2563
12736,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,50738
12737,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,2563
12738,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461200,Computer Supplies,513
12739,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461210,Computer Software,513
12740,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481100,Community Support Programs,57400
12741,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,City Property,Property Accounts,E_474410,Computer Equipment,1922
12742,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-547193
12743,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,273596
12744,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001061,Public Education Outreach,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,273597
12745,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,148716
12746,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Storm Drainage,F_6011,Storm Drainage Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,16052
12747,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Wastewater,F_6006,Wastewater Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502060,Budgeted Reimbursement - DR,-6416
12748,OffBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502050,Budgeted Reimbursement - CR,-9636
12749,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,204089
12750,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,26102
12751,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,31697
12752,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,8164
12753,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,12111
12754,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,2959
12755,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,420
12756,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,2041
12757,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,10000
12758,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,109000
12759,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_453020,Cellular Telephone,643
12760,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458010,Transportation,13216
12761,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458020,Meals,5000
12762,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458030,Lodging,8000
12763,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458040,Other Travel Expenses,7144
12764,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,500
12765,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_14000,Utilities,Current Departments,Utility Departments,Office of the Director - DOU,D_14001071,Government Affairs - Utilities,Fund Total,Enterprise Funds,Water,F_6005,Water Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,3572
